airline_name,departure_time,arrival_time,departure_terminal,arrival_terminal,Way_Of_Travel,Time in Hours,number_days_added,Trip_Type,free_checked_baggage,limited_tickets_remaining?,Price,number_of_airlines
easyJet,2025-08-03 18:40:00,2025-08-03 20:35:00,MXP T2,AMS,Direct,1h 55m,,Return,,,$373,Singular Airline
KLM Royal Dutch Airlines,2025-08-03 11:00:00,2025-08-03 12:55:00,LIN,AMS,Direct,1h 55m,,Return,,,$411,Singular Airline
KLM Royal Dutch Airlines Operated by Klm Cityhopper,2025-08-03 16:50:00,2025-08-03 18:40:00,LIN,AMS,Direct,1h 50m,,Return,,,$464,Singular Airline
KLM Royal Dutch Airlines,2025-08-03 13:00:00,2025-08-03 14:50:00,LIN,AMS,Direct,1h 50m,,Return,,,$483,Singular Airline
"Lufthansa Operated by Air Dolomiti,Lufthansa      Transfer in Frankfurt 1h 15m",2025-08-03 14:35:00,2025-08-03 18:20:00,MXP T1,AMS,1h 15m in Frankfurt,3h 45m,,Return,Checked baggage 23 kg,,$464,Multiple Airlines
"Lufthansa Operated by Air Dolomiti,Lufthansa      Transfer in Frankfurt 5h 5m",2025-08-03 14:35:00,2025-08-03 22:10:00,MXP T1,AMS,5h 5m in Frankfurt,7h 35m,,Return,Checked baggage 23 kg,,$464,Multiple Airlines
"Lufthansa ,Lufthansa Operated by Cityjet     Transfer in Frankfurt 5h 55m",2025-08-03 09:10:00,2025-08-03 17:35:00,MXP T1,AMS,5h 55m in Frankfurt,8h 25m,,Return,Checked baggage 23 kg,<5 left,$464,Multiple Airlines
"Lufthansa ,Lufthansa      Transfer in Frankfurt 2h 10m",2025-08-03 09:10:00,2025-08-03 13:50:00,MXP T1,AMS,2h 10m in Frankfurt,4h 40m,,Return,Checked baggage 23 kg,,$491,Multiple Airlines
"Lufthansa ,Lufthansa Operated by Cityjet     Transfer in Frankfurt 3h 50m",2025-08-03 11:15:00,2025-08-03 17:35:00,MXP T1,AMS,3h 50m in Frankfurt,6h 20m,,Return,Checked baggage 23 kg,,$491,Multiple Airlines
"Lufthansa ,Lufthansa Operated by Cityjet     Transfer in Frankfurt 2h 25m",2025-08-03 12:45:00,2025-08-03 17:35:00,LIN,AMS,2h 25m in Frankfurt,4h 50m,,Return,Checked baggage 23 kg,,$497,Multiple Airlines
"Lufthansa ,Lufthansa      Transfer in Frankfurt 3h 10m",2025-08-03 12:45:00,2025-08-03 18:20:00,LIN,AMS,3h 10m in Frankfurt,5h 35m,,Return,Checked baggage 23 kg,,$497,Multiple Airlines
"Air France ,Air France      Transfer in Paris 50m",2025-08-03 06:50:00,2025-08-03 10:40:00,MXP T1,AMS,50m in Paris,3h 50m,,Return,,,$534,Multiple Airlines
"Vueling Airlines ,Vueling Airlines      Transfer in Barcelona 3h 5m",2025-08-03 14:45:00,2025-08-03 22:00:00,MXP T1,AMS,3h 5m in Barcelona,7h 15m,,Return,,,$537,Multiple Airlines
"Vueling Airlines ,Vueling Airlines      Transfer in Barcelona 1h 45m",2025-08-03 14:45:00,2025-08-03 20:40:00,MXP T1,AMS,1h 45m in Barcelona,5h 55m,,Return,,,$561,Multiple Airlines
"ITA Airways ,ITA Airways      Transfer in Rome 4h 25m",2025-08-03 09:00:00,2025-08-03 17:05:00,LIN,AMS,4h 25m in Rome,8h 5m,,Return,,,$574,Multiple Airlines
"Air France ,Air France      Transfer in Paris 3h 50m",2025-08-03 06:50:00,2025-08-03 13:40:00,MXP T1,AMS,3h 50m in Paris,6h 50m,,Return,,,$603,Multiple Airlines
"Lufthansa ,Lufthansa      Transfer in Frankfurt 7h",2025-08-03 12:45:00,2025-08-03 22:10:00,LIN,AMS,7h in Frankfurt,9h 25m,,Return,Checked baggage 23 kg,,$628,Multiple Airlines
"Lufthansa Operated by Air Dolomiti,Lufthansa Operated by Airbaltic     Transfer in Munich 9h 45m",2025-08-03 19:35:00,2025-08-04 08:05:00,MXP T1,AMS,9h 45m in Munich,12h 30m,+1,Return,Checked baggage 23 kg,,$653,Multiple Airlines
"Austrian Airlines ,Austrian Airlines Operated by Airbaltic     Transfer in Vienna 1h 10m",2025-08-03 14:45:00,2025-08-03 19:15:00,MXP T1,AMS,1h 10m in Vienna,4h 30m,,Return,Checked baggage 23 kg,,$654,Multiple Airlines
"Lufthansa Operated by Air Dolomiti,Lufthansa Operated by Lufthansa CityLine     Transfer in Munich 3h 45m",2025-08-03 08:30:00,2025-08-03 15:00:00,MXP T1,AMS,3h 45m in Munich,6h 30m,,Return,Checked baggage 23 kg,,$673,Multiple Airlines
"Air France ,Air France      Transfer in Paris 1h",2025-08-03 12:00:00,2025-08-03 15:55:00,MXP T1,AMS,1h in Paris,3h 55m,,Return,,,$675,Multiple Airlines
"Lufthansa Operated by Air Dolomiti,Lufthansa      Transfer in Frankfurt 1h 35m",2025-08-03 06:30:00,2025-08-03 10:35:00,MXP T1,AMS,1h 35m in Frankfurt,4h 5m,,Return,Checked baggage 23 kg,,$685,Multiple Airlines
"Lufthansa ,Lufthansa      Transfer in Frankfurt 1h 10m",2025-08-03 07:00:00,2025-08-03 10:35:00,LIN,AMS,1h 10m in Frankfurt,3h 35m,,Return,Checked baggage 23 kg,,$691,Multiple Airlines
"Lufthansa Operated by Air Dolomiti,Lufthansa      Transfer in Frankfurt 1h 30m",2025-08-03 18:15:00,2025-08-03 22:10:00,LIN,AMS,1h 30m in Frankfurt,3h 55m,,Return,Checked baggage 23 kg,,$691,Multiple Airlines
"Air France ,Air France      Transfer in Paris 55m",2025-08-03 09:45:00,2025-08-03 13:40:00,LIN,AMS,55m in Paris,3h 55m,,Return,,,$758,Multiple Airlines
"Air France ,Air France      Transfer in Paris 1h 25m",2025-08-03 14:55:00,2025-08-03 19:15:00,LIN,AMS,1h 25m in Paris,4h 20m,,Return,,,$758,Multiple Airlines
"Swiss Operated by Helvetic Airways,Swiss      Transfer in Zurich 5h 30m",2025-08-03 05:50:00,2025-08-03 14:10:00,MXP T1,AMS,5h 30m in Zurich,8h 20m,,Return,Checked baggage 23 kg,,$778,Multiple Airlines
"Scandinavian Airlines Operated by Sas Link,Scandinavian Airlines Operated by Cityjet     Transfer in Copenhagen 2h 15m",2025-08-03 11:15:00,2025-08-03 17:00:00,MXP T1,AMS,2h 15m in Copenhagen,5h 45m,,Return,Checked baggage 23 kg,,$780,Multiple Airlines
"Scandinavian Airlines Operated by Jettime A/S,Scandinavian Airlines Operated by Sas Link     Transfer in Copenhagen 40m",2025-08-03 15:30:00,2025-08-03 19:35:00,MXP T1,AMS,40m in Copenhagen,4h 5m,,Return,,,$934,Multiple Airlines
"Scandinavian Airlines Operated by Sas Link,Scandinavian Airlines Operated by Sas Link     Transfer in Copenhagen 4h 50m",2025-08-03 11:15:00,2025-08-03 19:35:00,MXP T1,AMS,4h 50m in Copenhagen,8h 20m,,Return,,,$970,Multiple Airlines
"American Airlines ,American Airlines      Transfer in Dallas 3h",2025-09-13 10:55:00,2025-09-13 18:03:00,AMS,SAN T2,3h in Dallas,16h 8m,,Return,,,$997,Multiple Airlines
